headlines,sarcastic_headlines,text
"Taylor Swift And Ruby Rose Accidentally Took A Video, As We All Have",'Taylor Swift Surprised After Realizing She Was In The Same Room With Another Human Being Named Ruby Rose',"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Taylor Swift And Ruby Rose Accidentally Took A Video, As We All Have

### Sarcastic Headline:
'Taylor Swift Surprised After Realizing She Was In The Same Room With Another Human Being Named Ruby Rose'"
Kristen Bell's Mullet Puts All Your Terrible Childhood Haircuts To Shame,Kristen Bell's glorious mullet haircut makes all your childhood hair nightmares look like a cute little baby hair disaster.,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Kristen Bell's Mullet Puts All Your Terrible Childhood Haircuts To Shame

### Sarcastic Headline:
Kristen Bell's glorious mullet haircut makes all your childhood hair nightmares look like a cute little baby hair disaster."
Cuteness Takes Human Form As Kristen Bell's Anna Meets Ellen DeGeneres' Dory IRL,Kristen Bell And Ellen DeGeneres Unite To Prove That Nice People Are The Worst,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Cuteness Takes Human Form As Kristen Bell's Anna Meets Ellen DeGeneres' Dory IRL

### Sarcastic Headline:
Kristen Bell And Ellen DeGeneres Unite To Prove That Nice People Are The Worst"
'How Will I Know': Listen To The Isolated Vocals From 1985 Whitney Houston Hit Single (SONG),"Whitney Houston's Voice Finally Set Free From That Awkward Music Video"".","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
'How Will I Know': Listen To The Isolated Vocals From 1985 Whitney Houston Hit Single (SONG)

### Sarcastic Headline:
Whitney Houston's Voice Finally Set Free From That Awkward Music Video""."
See Gwyneth Paltrow And Chris Martin's Daughter Play The Guitar,"Gwyneth Paltrow's daughter shows off her guitar skills, proving she got the only good thing from Chris Martin","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
See Gwyneth Paltrow And Chris Martin's Daughter Play The Guitar

### Sarcastic Headline:
Gwyneth Paltrow's daughter shows off her guitar skills, proving she got the only good thing from Chris Martin"
J.K. Rowling's New Show Is Nothing Like 'Harry Potter',😂 Witchy Woman Goes Off the Rails with Her Latest Disasterpiece! 🚂,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
J.K. Rowling's New Show Is Nothing Like 'Harry Potter'

### Sarcastic Headline:
😂 Witchy Woman Goes Off the Rails with Her Latest Disasterpiece! 🚂"
Don Cheadle Credits Donald Trump For Black Lives Matter In Backhanded Swipe,"Don Cheadle Gives Thanks To Donald Trump For Creating Black Lives Matter Movement, Because Nothing Motivates People Like A Racist President.","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Don Cheadle Credits Donald Trump For Black Lives Matter In Backhanded Swipe

### Sarcastic Headline:
Don Cheadle Gives Thanks To Donald Trump For Creating Black Lives Matter Movement, Because Nothing Motivates People Like A Racist President."
Actress Says Dustin Hoffman 'Humiliated And Demeaned Me' With Repeated Groping,"Dustin Hoffman's Hands Just Wanted To Be Friends, But Apparently That's Not Allowed Anymore","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Actress Says Dustin Hoffman 'Humiliated And Demeaned Me' With Repeated Groping

### Sarcastic Headline:
Dustin Hoffman's Hands Just Wanted To Be Friends, But Apparently That's Not Allowed Anymore"
A Director Suggested Jessica Chastain Not Talk About 'All This Women Stuff',Jessica Chastain Silenced By Someone Who Clearly Doesn't Understand The Word 'Stuff',"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
A Director Suggested Jessica Chastain Not Talk About 'All This Women Stuff'

### Sarcastic Headline:
Jessica Chastain Silenced By Someone Who Clearly Doesn't Understand The Word 'Stuff'"
Alec Baldwin Seems Worried He's Normalizing Donald Trump On 'SNL',Alec Baldwin Is Shook That His Impression Of A Cheeto Isn't As Bad As The Real Thing,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Alec Baldwin Seems Worried He's Normalizing Donald Trump On 'SNL'

### Sarcastic Headline:
Alec Baldwin Is Shook That His Impression Of A Cheeto Isn't As Bad As The Real Thing"
"Box Office Totals Place 'After Earth' Behind 'Fast 6,' 'Now You See Me'","After Earth Falls to the Back of the Pack, Proving That Even Will Smith Can't Save a Terrible Movie.","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Box Office Totals Place 'After Earth' Behind 'Fast 6,' 'Now You See Me'

### Sarcastic Headline:
After Earth Falls to the Back of the Pack, Proving That Even Will Smith Can't Save a Terrible Movie."
Adam Rippon Meeting Reese Witherspoon Is Better Than Olympic Glory,Adam Rippon's meeting with Reese Witherspoon is the only gold medal he needs.,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Adam Rippon Meeting Reese Witherspoon Is Better Than Olympic Glory

### Sarcastic Headline:
Adam Rippon's meeting with Reese Witherspoon is the only gold medal he needs."
Second Time Around,Second Time Around? More Like Third Time Flush!,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Second Time Around

### Sarcastic Headline:
Second Time Around? More Like Third Time Flush!"
Apple Music Taps All Your Faves To Host New 'Carpool Karaoke' Series,Apple Music Hires Everyone You Hate to Sing in the Car With You,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Apple Music Taps All Your Faves To Host New 'Carpool Karaoke' Series

### Sarcastic Headline:
Apple Music Hires Everyone You Hate to Sing in the Car With You"
"'The Walking Dead' Season 6 Trailer Is Here, And It's Insane","The Walking Dead' Season 6 Trailer Is Here, And It's So Over-The-Top That We Might Need A Defibrillator To Recover From All The Drama.","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
'The Walking Dead' Season 6 Trailer Is Here, And It's Insane

### Sarcastic Headline:
The Walking Dead' Season 6 Trailer Is Here, And It's So Over-The-Top That We Might Need A Defibrillator To Recover From All The Drama."
Weekend Box Office: 'The Hobbit' Sees A Record-Breaking Weekend,"Middle Earth Fans Rejoice! The Hobbit Breaks Records, Proves That Orcs Have Better Taste in Movies Than Humans","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Weekend Box Office: 'The Hobbit' Sees A Record-Breaking Weekend

### Sarcastic Headline:
Middle Earth Fans Rejoice! The Hobbit Breaks Records, Proves That Orcs Have Better Taste in Movies Than Humans"
How Lifetime's 'UnREAL' Tackles The Princess Fantasy,"Lifetime's UnReal"" Exposes the Dark Reality Behind Fairytale Romances","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
How Lifetime's 'UnREAL' Tackles The Princess Fantasy

### Sarcastic Headline:
Lifetime's UnReal"" Exposes the Dark Reality Behind Fairytale Romances"
Michael Strahan Sounds Really Surprised That He And Kelly Ripa Aren't Friends, Michael Strahan Shockingly Realizes He And Kelly Ripa Have Zero Friendship Goals!,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Michael Strahan Sounds Really Surprised That He And Kelly Ripa Aren't Friends

### Sarcastic Headline:
 Michael Strahan Shockingly Realizes He And Kelly Ripa Have Zero Friendship Goals!"
"Justin Bieber, 50 Cent Join Floyd Mayweather Jr.'s Entourage For Title Fight (VIDEO)","Justin Bieber and 50 Cent join forces with Floyd Mayweather Jr. to create a fight so boring, it'll put you into a coma","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Justin Bieber, 50 Cent Join Floyd Mayweather Jr.'s Entourage For Title Fight (VIDEO)

### Sarcastic Headline:
Justin Bieber and 50 Cent join forces with Floyd Mayweather Jr. to create a fight so boring, it'll put you into a coma"
5 Family Movies Still Worth Streaming On Netflix This Holiday,5 Family-Approved Films To Make You Pretend Your Relatives Are Not The Worst This Holiday Season,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
5 Family Movies Still Worth Streaming On Netflix This Holiday

### Sarcastic Headline:
5 Family-Approved Films To Make You Pretend Your Relatives Are Not The Worst This Holiday Season"
Radiohead Just Dropped Their New Single 'Burn The Witch' Online,Radiohead Burns the Witch of Mediocrity with their Latest Single,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Radiohead Just Dropped Their New Single 'Burn The Witch' Online

### Sarcastic Headline:
Radiohead Burns the Witch of Mediocrity with their Latest Single"
Watch Kevin Hart Totally Lose It When He Sees A Giant Python,Kevin Hart's Reaction To Seeing A Gigantic Python Will Make Your Day Better,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Watch Kevin Hart Totally Lose It When He Sees A Giant Python

### Sarcastic Headline:
Kevin Hart's Reaction To Seeing A Gigantic Python Will Make Your Day Better"
Taylor Swift's Oh-So-Serious Bodyguard Photobombs Her On Disney Ride,"What?! Taylor Swift Needs A freakin' bodyguard for a Disney ride? That's just preposterous! Who does she think she is, the Queen of Pop or something? Gawd","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Taylor Swift's Oh-So-Serious Bodyguard Photobombs Her On Disney Ride

### Sarcastic Headline:
What?! Taylor Swift Needs A freakin' bodyguard for a Disney ride? That's just preposterous! Who does she think she is, the Queen of Pop or something? Gawd"
Who Is Arthur Chu?,Arthur Cho: The Man Who Gives New Meaning To 'Game Show Loser,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Who Is Arthur Chu?

### Sarcastic Headline:
Arthur Cho: The Man Who Gives New Meaning To 'Game Show Loser"
"'Little People, Big World' Star Jeremy Roloff Is Married",Jeremy Roloff Ties the Knot; Finally Finds Someone Who Isn't Bigger Than Him,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
'Little People, Big World' Star Jeremy Roloff Is Married

### Sarcastic Headline:
Jeremy Roloff Ties the Knot; Finally Finds Someone Who Isn't Bigger Than Him"
"Branden Daniel & The Chics ""In Light"" Video is Totally Groovy",Sure Thing! Here's the Savage Rephrased Version of the Same Story...,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Branden Daniel & The Chics ""In Light"" Video is Totally Groovy

### Sarcastic Headline:
Sure Thing! Here's the Savage Rephrased Version of the Same Story..."
Hilary Duff's Bikini Selfie Is For All The Moms Out There,"Hilary Duff Bares It All In A Bikini Selfie, Proving That Even Celebrities Have Body Hair And Stretch Marks Now.","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Hilary Duff's Bikini Selfie Is For All The Moms Out There

### Sarcastic Headline:
Hilary Duff Bares It All In A Bikini Selfie, Proving That Even Celebrities Have Body Hair And Stretch Marks Now."
Chris Wallace Chews Out Trump Adviser For Denying Reality Of 'Empty' Tulsa Rally,"Trump Aide Tries To Gaslight Nation, Gets Roasted By Fox News Anchor Like A Sad Little Hot Dog","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Chris Wallace Chews Out Trump Adviser For Denying Reality Of 'Empty' Tulsa Rally

### Sarcastic Headline:
Trump Aide Tries To Gaslight Nation, Gets Roasted By Fox News Anchor Like A Sad Little Hot Dog"
Kim K Emailed Her Mom Some Hilariously Harsh Style Advice,"'Mom, I Need Your Fashion Expertise' - Says The Woman Who Wears A Skirt Over Leggings Every Day.","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Kim K Emailed Her Mom Some Hilariously Harsh Style Advice

### Sarcastic Headline:
'Mom, I Need Your Fashion Expertise' - Says The Woman Who Wears A Skirt Over Leggings Every Day."
Morgan Freeman 'Devastated' That Sexual Harassment Claims Could Undermine Legacy,Morgan Freeman left heartbroken that his years of sexual harassment might ruin his reputation for being a total legend.,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Morgan Freeman 'Devastated' That Sexual Harassment Claims Could Undermine Legacy

### Sarcastic Headline:
Morgan Freeman left heartbroken that his years of sexual harassment might ruin his reputation for being a total legend."
Todrick Hall Mixes 'Peter Pan' And Katy Perry In New Video,"Todrick Hall attempts to turn Peter Pan into a sexy, pop-infused musical disaster with his latest video","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Todrick Hall Mixes 'Peter Pan' And Katy Perry In New Video

### Sarcastic Headline:
Todrick Hall attempts to turn Peter Pan into a sexy, pop-infused musical disaster with his latest video"
Sea Butterfly Photos Show Stunning Underwater Biodiversity,Sea Butterfly Photos Prove Nature's Cruel Joke on Land-Dwellers,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Sea Butterfly Photos Show Stunning Underwater Biodiversity

### Sarcastic Headline:
Sea Butterfly Photos Prove Nature's Cruel Joke on Land-Dwellers"
Government To Use Eagle Scout's Raptor Trap At Airports,"Government to Employ Magic Bird-Snatching Tech of Eagle Scouts at Airports, Because Why Not?","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Government To Use Eagle Scout's Raptor Trap At Airports

### Sarcastic Headline:
Government to Employ Magic Bird-Snatching Tech of Eagle Scouts at Airports, Because Why Not?"
New Member Could Tip Balance On Kauai County Council On Pesticide Bill,"Newly Elected Councilman To Decide Fate Of Delicious, Necessary Poisoning Of Island","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
New Member Could Tip Balance On Kauai County Council On Pesticide Bill

### Sarcastic Headline:
Newly Elected Councilman To Decide Fate Of Delicious, Necessary Poisoning Of Island"
"Goal Of Capping Global Warming At 1.5 Degrees Celsius Is 'On Life Support,' UN Chief Warns","UN Chief Declares Mission Impossible: Cap Global Warming at 1.5 Degrees Celsius, Because We All Love A Good Challenge","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Goal Of Capping Global Warming At 1.5 Degrees Celsius Is 'On Life Support,' UN Chief Warns

### Sarcastic Headline:
UN Chief Declares Mission Impossible: Cap Global Warming at 1.5 Degrees Celsius, Because We All Love A Good Challenge"
Lipingzi Nature Reserve Puts Panda Cub Through 'Boot Camp' To Prepare Him For The Wild,"Lipingzi Nature Reserve Forces Adorable Panda Cub to Endure Brutal 'Survival Training' So He Can Maybe, Possibly, Potentially Survive in the Wild One Day","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Lipingzi Nature Reserve Puts Panda Cub Through 'Boot Camp' To Prepare Him For The Wild

### Sarcastic Headline:
Lipingzi Nature Reserve Forces Adorable Panda Cub to Endure Brutal 'Survival Training' So He Can Maybe, Possibly, Potentially Survive in the Wild One Day"
Gowanus Canal Pollution: Photos By William Miller Show Devastating Beauty Of Toxic Channel,"Gowanus Canal's Dazzling Ugliness Will Leave You Breathless, Literally","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Gowanus Canal Pollution: Photos By William Miller Show Devastating Beauty Of Toxic Channel

### Sarcastic Headline:
Gowanus Canal's Dazzling Ugliness Will Leave You Breathless, Literally"
World Elephant Day 2012 (PHOTOS),World Elephant Day? More Like World Humanity's Failure to Preserve Anything Decent Day.,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
World Elephant Day 2012 (PHOTOS)

### Sarcastic Headline:
World Elephant Day? More Like World Humanity's Failure to Preserve Anything Decent Day."
Can Louisiana Gov. Bobby Jindal Make the Big Oil Lawsuit Go Away?,Can Bobby Jindal Use His Magic Beans to Make the Big Oil Lawsuit Disappear?,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Can Louisiana Gov. Bobby Jindal Make the Big Oil Lawsuit Go Away?

### Sarcastic Headline:
Can Bobby Jindal Use His Magic Beans to Make the Big Oil Lawsuit Disappear?"
Sea Butterfly Photos Show Stunning Underwater Biodiversity,Sea Butterfly's Pics Expose Just How Ugly the Ocean Really Is,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Sea Butterfly Photos Show Stunning Underwater Biodiversity

### Sarcastic Headline:
Sea Butterfly's Pics Expose Just How Ugly the Ocean Really Is"
Puppies With Deadly Case Of Mange Saved By Good Samaritan,"Local Man Discovers Cure For Canine Mange, Also Finds New Purpose In Life: Trolling Puppy Parents","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Puppies With Deadly Case Of Mange Saved By Good Samaritan

### Sarcastic Headline:
Local Man Discovers Cure For Canine Mange, Also Finds New Purpose In Life: Trolling Puppy Parents"
Obama's Climate Change Promises Questioned As Second Term Arrives,What A Coincidence! Obama's Re-election Means Another Chance To Ignore Climate Change,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Obama's Climate Change Promises Questioned As Second Term Arrives

### Sarcastic Headline:
What A Coincidence! Obama's Re-election Means Another Chance To Ignore Climate Change"
Rhino Pictures: Endangered Species Overload,Rhinos in Peril: When Cute Turns into Too Many,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Rhino Pictures: Endangered Species Overload

### Sarcastic Headline:
Rhinos in Peril: When Cute Turns into Too Many"
5 Super Cool Energy Projects Being Backed By The U.S. Government,5 Pathetic Energy Boondoggles That Taxpayers Are Funding Because Our Leaders Have No Brain Cells Left,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
5 Super Cool Energy Projects Being Backed By The U.S. Government

### Sarcastic Headline:
5 Pathetic Energy Boondoggles That Taxpayers Are Funding Because Our Leaders Have No Brain Cells Left"
Time’s Most Influential Indigenous Activist: ‘Capitalism Destroys The Whole Planet’,“Influential Indigenous Activist Realizes Capitalism is the Reason Why She Can't Afford a Decent Pair of Moccasins”,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Time’s Most Influential Indigenous Activist: ‘Capitalism Destroys The Whole Planet’

### Sarcastic Headline:
“Influential Indigenous Activist Realizes Capitalism is the Reason Why She Can't Afford a Decent Pair of Moccasins”"
Animal Photos Of The Week,"This week in animal photos, we have proof that nature is trolling us with its adorable creatures.","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Animal Photos Of The Week

### Sarcastic Headline:
This week in animal photos, we have proof that nature is trolling us with its adorable creatures."
Here's How You Start A Controlled Avalanche (VIDEO),'Cause Who Needs Safety When You Have Sarcastic Wit? Watch This Idiot Trigger An Avalanche On Purpose!,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Here's How You Start A Controlled Avalanche (VIDEO)

### Sarcastic Headline:
'Cause Who Needs Safety When You Have Sarcastic Wit? Watch This Idiot Trigger An Avalanche On Purpose!"
Former DEA Agent Finds Employment in the Recreational Marijuana Industry,"Former DEA Agent Realizes They Were Doing It All Wrong, Now Peddles Weed to Children","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Former DEA Agent Finds Employment in the Recreational Marijuana Industry

### Sarcastic Headline:
Former DEA Agent Realizes They Were Doing It All Wrong, Now Peddles Weed to Children"
The Dark Money In Climate Change," Another ""Dark Money"" Scandal in the Climate Change Industry - Shocker, Right?","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
The Dark Money In Climate Change

### Sarcastic Headline:
 Another ""Dark Money"" Scandal in the Climate Change Industry - Shocker, Right?"
Counterfeit Super Bowl Fan Gear May Be Tainted With Toxins,SUPER BOWL FAN GEAR? MORE LIKE TOXIN-FILLED TRASH FOR THE MASSES!,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Counterfeit Super Bowl Fan Gear May Be Tainted With Toxins

### Sarcastic Headline:
SUPER BOWL FAN GEAR? MORE LIKE TOXIN-FILLED TRASH FOR THE MASSES!"
Spring Outlook: Six More Weeks Of Winter To Grip Half Of U.S.,Six More Weeks of winter?  Let's All Just Stay Inside and Eat Ice Cream Forever Instead!,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Spring Outlook: Six More Weeks Of Winter To Grip Half Of U.S.

### Sarcastic Headline:
Six More Weeks of winter?  Let's All Just Stay Inside and Eat Ice Cream Forever Instead!"
Intrepid Japanese Fisherman Turns Over New Leaf,Japanese Fisherman Discovers He Can Catch More Flies with Honey than Vinegar,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Intrepid Japanese Fisherman Turns Over New Leaf

### Sarcastic Headline:
Japanese Fisherman Discovers He Can Catch More Flies with Honey than Vinegar"
Obama Praises U.S. Oil Production As 'Tremendous Step Towards American Energy Independence',Obama Hails U.S. Oil Boom as Proof That America Still Hasn't Figured Out How to Use Less Fossil Fuels,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Obama Praises U.S. Oil Production As 'Tremendous Step Towards American Energy Independence'

### Sarcastic Headline:
Obama Hails U.S. Oil Boom as Proof That America Still Hasn't Figured Out How to Use Less Fossil Fuels"
"Animal Photos Of The Week: Tigers, Gibbons, Slow Lorises And More Pictures",Animal photos of the week: Because looking at pictures of animals is better than doing anything productive with your life,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Animal Photos Of The Week: Tigers, Gibbons, Slow Lorises And More Pictures

### Sarcastic Headline:
Animal photos of the week: Because looking at pictures of animals is better than doing anything productive with your life"
The Hoax That Tricked Millions Into Thinking About The Environment,Breaking News! You've Been Fooled By Another Pointless Environmental Campaign!,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
The Hoax That Tricked Millions Into Thinking About The Environment

### Sarcastic Headline:
Breaking News! You've Been Fooled By Another Pointless Environmental Campaign!"
Baby Porcupine Rescued From Dead Mother's Womb After Car Accident (VIDEO),"Baby Porcupine Born in the Backseat, Because Mom Was Too Lazy to Give Birth Properly","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Baby Porcupine Rescued From Dead Mother's Womb After Car Accident (VIDEO)

### Sarcastic Headline:
Baby Porcupine Born in the Backseat, Because Mom Was Too Lazy to Give Birth Properly"
"Snail And Tortoise Sweaters Really Do Exist, And They're Surprisingly Adorable (PHOTOS)", It's The Slowest Race On Earth Wearing Matching Knitted Sweaters Because That's Not At All IRONIC.,"You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Snail And Tortoise Sweaters Really Do Exist, And They're Surprisingly Adorable (PHOTOS)

### Sarcastic Headline:
 It's The Slowest Race On Earth Wearing Matching Knitted Sweaters Because That's Not At All IRONIC."
Animal Photos Of The Week: Time For Everyone To Celebrate The Holidays,"Animal photos of the week"" because it's not like we have anything better to do than look at pictures of animals""","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
Animal Photos Of The Week: Time For Everyone To Celebrate The Holidays

### Sarcastic Headline:
Animal photos of the week"" because it's not like we have anything better to do than look at pictures of animals"""
2013 Cicadas' Parents Had An Eventful Year In 1996 (PHOTOS),"""Parental Guidance"" Required for Cicadas Born in '96, Apparently Their Folks Partied Too Hard That Year.","You are a savage, disrespectful and witty paraphrasing tool. You rephrase a news headline into a funny, creatively sarcastic way. Write a sarcastic headline by rephrasing the input headline.

### Headline:
2013 Cicadas' Parents Had An Eventful Year In 1996 (PHOTOS)

### Sarcastic Headline:
""Parental Guidance"" Required for Cicadas Born in '96, Apparently Their Folks Partied Too Hard That Year."
